corp_code,corp_name,stock_code,ceo_nm,induty_code,adres,hm_url,est_dt,acc_mt,updated_at
00133335,성창기업지주,000180,우인석,71531,부산광역시 사하구  다대로 627 (다대동),www.sce.kr,19161120,12,2026-07-09T22:25:07
00123648,심팩인더스트리,005350,"최진식, 서련석",29230,인천광역시 서구 가좌로 64,www.simpacindustries.co.kr,19671226,12,2026-07-09T22:25:08
00131054,유진증권,001200,"유창수, 고경모(각자 대표)",66121,서울특별시 영등포구 국제금융로 24 (여의도동),www.eugenefn.com,19540512,12,2026-07-09T22:25:08
00185356,제룡전기,033100,박종태,2811,서울특별시 광진구  아차산로 628,www.cheryong.co.kr,19861218,12,2026-07-09T22:25:08
00112679,대창단조,015230,박권일,303,경상남도 김해시 생림면 봉림리 1072-1,www.dcf.co.kr,19810101,12,2026-07-09T22:25:09
01113949,퓨전,195440,이재수,58221,"서울특별시 강남구 도산대로 532 5층(청담동,인희빌딩)",www.fusiondata.co.kr,20010601,12,2026-07-09T22:25:09
00359076,브리지텍,064480,신경식,58221,"서울특별시 영등포구 국제금융로2길 32 여의도파이낸스타워 17,18층",www.bridgetec.co.kr,19950331,12,2026-07-09T22:25:09
00439965,나노신소재,121600,박장우,2049,세종특별자치시   부강면 금호안골길 78 부용지방산업단지내,anapro.com,20000315,12,2026-07-09T22:25:09
01487446,씨엔알리서치,359090,윤문태,739,"서울특별시 강남구 역삼로 412 (대치동, 씨엔알빌딩)",,20200618,12,2026-07-09T22:25:10
00160205,한국내화,010040,변성희,2321,충청남도 당진시  송산면 무수들길 370,www.fskrc.co.kr,19740624,12,2026-07-09T22:25:10
00628860,네오위즈,095660,"김승철, 배태근 (공동대표)",5821,경기도 성남시 분당구 대왕판교로645번길 14네오위즈판교타워,www.neowizgames.com,20070426,12,2026-07-09T22:25:10
00576789,디젠스,113810,이석우,303,경기도 시흥시 공단1대로27번길 38 (정왕동),www.dgenx.com,20060201,12,2026-07-09T22:25:11
00360674,코위버,056360,황인환,26410,서울특별시 강서구 마곡중앙8로7길 45 (마곡동),www.coweaver.co.kr,20000218,12,2026-07-09T22:25:11
