corp_code,corp_name,year,report_code,fs_div,account_nm,amount
00298447,아모텍,2021,11011,CFS,재무활동현금흐름,-253314597
00401731,LG전자,2025,11011,CFS,자산총계,68620167000000
00401731,LG전자,2025,11011,CFS,부채총계,40068142000000
00401731,LG전자,2025,11011,CFS,자본총계,28552025000000
00401731,LG전자,2025,11011,CFS,매출액,89200882000000
00401731,LG전자,2025,11011,CFS,매출원가,68359224000000
00401731,LG전자,2025,11011,CFS,매출총이익,20841658000000
00401731,LG전자,2025,11011,CFS,영업이익,2478392000000
00401731,LG전자,2025,11011,CFS,당기순이익,1220412000000
00401731,LG전자,2025,11011,CFS,영업활동현금흐름,4280500000000
00401731,LG전자,2025,11011,CFS,투자활동현금흐름,-3013603000000
00401731,LG전자,2025,11011,CFS,재무활동현금흐름,-319476000000
00401731,LG전자,2024,11011,CFS,자산총계,65629589000000
00401731,LG전자,2024,11011,CFS,부채총계,40417925000000
00401731,LG전자,2024,11011,CFS,자본총계,25211664000000
00401731,LG전자,2024,11011,CFS,매출액,87728182000000
00401731,LG전자,2024,11011,CFS,매출원가,66348948000000
00401731,LG전자,2024,11011,CFS,매출총이익,21379234000000
00401731,LG전자,2024,11011,CFS,영업이익,3419675000000
00401731,LG전자,2024,11011,CFS,당기순이익,591365000000
00401731,LG전자,2024,11011,CFS,영업활동현금흐름,3842661000000
00401731,LG전자,2024,11011,CFS,투자활동현금흐름,-4211873000000
00401731,LG전자,2024,11011,CFS,재무활동현금흐름,-704675000000
00401731,LG전자,2023,11011,CFS,자산총계,60240793000000
00401731,LG전자,2023,11011,CFS,부채총계,36742257000000
00401731,LG전자,2023,11011,CFS,자본총계,23498536000000
00401731,LG전자,2023,11011,CFS,매출액,84227765000000
00401731,LG전자,2023,11011,CFS,매출원가,64425110000000
00401731,LG전자,2023,11011,CFS,매출총이익,19802655000000
00401731,LG전자,2023,11011,CFS,영업이익,3549074000000
00401731,LG전자,2023,11011,CFS,영업활동현금흐름,5913596000000
